subject,text,label,source
Draft contract attached,"From: user530@example.com
To: target784@example.com
Date: 2024-04-02
Message-ID: <944554@mail.example.com>

The conference room is booked for 2pm. See you all there.",ham,enron
URGENT: limited time offer,"From: user985@mailer.biz
To: target320@example.com
Date: 2024-06-06
Message-ID: <759726@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches.",spam,spamassassin
Lunch tomorrow?,"From: user204@example.com
To: target151@example.com
Date: 2024-01-02
Message-ID: <356736@mail.example.com>

The conference room is booked for 2pm. See you all there.",ham,enron
Draft contract attached,Attached is your invoice for last month's consulting hours.,ham,enron
Holiday schedule reminder,"<html><body><p>Holiday schedule reminder</p><br>From: user767@example.com
To: target986@example.com
Date: 2024-05-02
Message-ID: <109717@mail.example.com>

Attached is your invoice for last month's consulting hours.</body></html>",ham,enron
URGENT: limited time offer,"From: user776@mailer.biz
To: target746@example.com
Date: 2024-02-04
Message-ID: <875507@mail.example.com>

Click here to claim your free gift card before it expires!!! Hurry, limited stock. https://accounts-update.example.org",spam,spamassassin
Draft contract attached,"<html><body><p>Draft contract attached</p><br>From: user746@example.com
To: target348@example.com
Date: 2024-02-08
Message-ID: <300896@mail.example.com>

Please find the Q3 numbers below. We are slightly under budget on travel.</body></html>",ham,enron
Meeting notes from yesterday,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Hot singles in your area,"LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://accounts-update.example.org",spam,spamassassin
Follow-up on our call,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Re: Conference room booking,"<html><body><p>Re: Conference room booking</p><br>From: user453@example.com
To: target672@example.com
Date: 2024-05-24
Message-ID: <602351@mail.example.com>

Please find the Q3 numbers below. We are slightly under budget on travel.</body></html>",ham,enron
Your invoice from last month,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Meeting notes from yesterday,"<html><body><p>Meeting notes from yesterday</p><br>From: user883@example.com
To: target800@example.com
Date: 2024-01-28
Message-ID: <787584@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.</body></html>

    unsubscribe   ",ham,enron
Server maintenance window,"From: user543@example.com
To: target244@example.com
Date: 2024-07-16
Message-ID: <162804@mail.example.com>

The conference room is booked for 2pm. See you all there.

    unsubscribe   ",ham,enron
Follow-up on our call,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Final notice: update your billing information,"<html><body><p>Final notice: update your billing information</p><br>From: user723@mailer.biz
To: target400@example.com
Date: 2024-08-09
Message-ID: <252200@mail.example.com>

Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox. http://free-gift-claim.example.net</body></html>",phishing,ceas2008
Team offsite planning,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Best deal of the year - act now,"From: user13@mailer.biz
To: target691@example.com
Date: 2024-04-13
Message-ID: <709231@mail.example.com>

Lose 10kg in 2 weeks with this one weird trick doctors don't want you to know about. https://secure-verify-now.example.com

    unsubscribe   ",spam,spamassassin
Buy cheap meds online now,"<html><body><p>Buy cheap meds online now</p><br>From: user306@mailer.biz
To: target204@example.com
Date: 2024-06-02
Message-ID: <799080@mail.example.com>

Lose 10kg in 2 weeks with this one weird trick doctors don't want you to know about. http://bit.ly/3xQ1z</body></html>",spam,spamassassin
Your invoice from last month,Attached is your invoice for last month's consulting hours.,ham,enron
Follow-up on our call,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Weekly status report,Here is this week's status report. No major blockers to report.,ham,enron
Draft contract attached,Here is this week's status report. No major blockers to report.,ham,enron
Make $5000 a week from home,"From: user621@mailer.biz
To: target736@example.com
Date: 2024-02-01
Message-ID: <318877@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!",spam,spamassassin
Team offsite planning,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
URGENT: limited time offer,"From: user571@mailer.biz
To: target495@example.com
Date: 2024-03-12
Message-ID: <686252@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://secure-verify-now.example.com",spam,spamassassin
Buy cheap meds online now,"From: user20@mailer.biz
To: target870@example.com
Date: 2024-09-21
Message-ID: <132709@mail.example.com>

Click here to claim your free gift card before it expires!!! Hurry, limited stock.",spam,spamassassin
Team offsite planning,"From: user487@example.com
To: target970@example.com
Date: 2024-09-06
Message-ID: <377932@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.",ham,enron
Team offsite planning,"<html><body><p>Team offsite planning</p><br>From: user249@example.com
To: target262@example.com
Date: 2024-04-11
Message-ID: <778120@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.</body></html>",ham,enron
Server maintenance window,"<html><body><p>Server maintenance window</p><br>From: user487@example.com
To: target943@example.com
Date: 2024-05-12
Message-ID: <121215@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.</body></html>",ham,enron
Q3 budget review,"From: user695@example.com
To: target396@example.com
Date: 2024-05-09
Message-ID: <858889@mail.example.com>

Here is this week's status report. No major blockers to report.",ham,enron
Re: Conference room booking,"<html><body><p>Re: Conference room booking</p><br>From: user277@example.com
To: target105@example.com
Date: 2024-03-03
Message-ID: <296494@mail.example.com>

Attached is your invoice for last month's consulting hours.</body></html>",ham,enron
Re: Conference room booking,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Weekly status report,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Best deal of the year - act now,"From: user537@mailer.biz
To: target725@example.com
Date: 2024-07-24
Message-ID: <929493@mail.example.com>

Click here to claim your free gift card before it expires!!! Hurry, limited stock.

    unsubscribe   ",spam,spamassassin
Your invoice from last month,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Draft contract attached,Here is this week's status report. No major blockers to report.,ham,enron
Holiday schedule reminder,"From: user981@example.com
To: target713@example.com
Date: 2024-09-15
Message-ID: <152657@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.",ham,enron
Holiday schedule reminder,Here is this week's status report. No major blockers to report.,ham,enron
Re: Conference room booking,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Buy cheap meds online now,"<html><body><p>Buy cheap meds online now</p><br>From: user665@mailer.biz
To: target929@example.com
Date: 2024-12-26
Message-ID: <271960@mail.example.com>

Lose 10kg in 2 weeks with this one weird trick doctors don't want you to know about.</body></html>

    unsubscribe   ",spam,spamassassin
Lose weight fast - guaranteed,"From: user260@mailer.biz
To: target268@example.com
Date: 2024-09-14
Message-ID: <692099@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://secure-verify-now.example.com",spam,spamassassin
Re: Conference room booking,"From: user162@example.com
To: target750@example.com
Date: 2024-07-26
Message-ID: <770318@mail.example.com>

Here is this week's status report. No major blockers to report.",ham,enron
Draft contract attached,"<html><body><p>Draft contract attached</p><br>From: user868@example.com
To: target433@example.com
Date: 2024-01-17
Message-ID: <211642@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.</body></html>

    unsubscribe   ",ham,enron
Re: Conference room booking,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Your invoice from last month,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Draft contract attached,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Project timeline update,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Security alert from IT department,"Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com https://accounts-update.example.org",phishing,ceas2008
Meeting notes from yesterday,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Your account has been suspended,"<html><body><p>Your account has been suspended</p><br>From: user142@mailer.biz
To: target896@example.com
Date: 2024-12-13
Message-ID: <293929@mail.example.com>

This is the IT Service Desk. We require you to confirm your credentials via the secure portal attached, due to a recent security breach.</body></html>",phishing,ceas2008
Team offsite planning,The conference room is booked for 2pm. See you all there.,ham,enron
Lose weight fast - guaranteed,"<html><body><p>Lose weight fast - guaranteed</p><br>From: user365@mailer.biz
To: target160@example.com
Date: 2024-03-09
Message-ID: <484914@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!</body></html>

    unsubscribe   ",spam,spamassassin
Follow-up on our call,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Follow-up on our call,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Your invoice from last month,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Follow-up on our call,"From: user831@example.com
To: target798@example.com
Date: 2024-05-02
Message-ID: <947935@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.",ham,enron
Q3 budget review,"<html><body><p>Q3 budget review</p><br>From: user327@example.com
To: target268@example.com
Date: 2024-02-03
Message-ID: <458411@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.</body></html>",ham,enron
Your invoice from last month,"From: user690@example.com
To: target113@example.com
Date: 2024-07-19
Message-ID: <422623@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Draft contract attached,"<html><body><p>Draft contract attached</p><br>From: user898@example.com
To: target147@example.com
Date: 2024-11-17
Message-ID: <331780@mail.example.com>

Here is this week's status report. No major blockers to report.</body></html>

    unsubscribe   ",ham,enron
Server maintenance window,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Your account has been suspended,Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox. http://free-gift-claim.example.net,phishing,ceas2008
Project timeline update,"<html><body><p>Project timeline update</p><br>From: user626@example.com
To: target201@example.com
Date: 2024-04-04
Message-ID: <993590@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.</body></html>",ham,enron
URGENT: limited time offer,"From: user184@mailer.biz
To: target572@example.com
Date: 2024-12-18
Message-ID: <535352@mail.example.com>

Work from home and earn $5000/week, no experience needed, sign up today!!!",spam,spamassassin
Follow-up on our call,"From: user336@example.com
To: target875@example.com
Date: 2024-09-15
Message-ID: <221886@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.",ham,enron
Project timeline update,The conference room is booked for 2pm. See you all there.,ham,enron
Security alert from IT department,"<html><body><p>Security alert from IT department</p><br>From: user247@mailer.biz
To: target86@example.com
Date: 2024-09-25
Message-ID: <113026@mail.example.com>

We detected unusual activity on your account. Click here to verify your identity within 24 hours or your account will be permanently suspended.</body></html>

    unsubscribe   ",phishing,ceas2008
Team offsite planning,The conference room is booked for 2pm. See you all there.,ham,enron
Best deal of the year - act now,"<html><body><p>Best deal of the year - act now</p><br>From: user36@mailer.biz
To: target292@example.com
Date: 2024-10-01
Message-ID: <642752@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://secure-verify-now.example.com</body></html>",spam,spamassassin
Team offsite planning,"<html><body><p>Team offsite planning</p><br>From: user72@example.com
To: target972@example.com
Date: 2024-11-11
Message-ID: <753425@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.</body></html>",ham,enron
Weekly status report,"From: user642@example.com
To: target803@example.com
Date: 2024-08-01
Message-ID: <230272@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.

    unsubscribe   ",ham,enron
Server maintenance window,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Lunch tomorrow?,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Server maintenance window,Attached is your invoice for last month's consulting hours.,ham,enron
Q3 budget review,The conference room is booked for 2pm. See you all there.,ham,enron
Lunch tomorrow?,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Project timeline update,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Your invoice from last month,"From: user967@example.com
To: target208@example.com
Date: 2024-03-25
Message-ID: <907557@mail.example.com>

The conference room is booked for 2pm. See you all there.

    unsubscribe   ",ham,enron
Follow-up on our call,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Free gift card waiting,"<html><body><p>Free gift card waiting</p><br>From: user576@mailer.biz
To: target880@example.com
Date: 2024-10-02
Message-ID: <517754@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. http://192.168.1.5/login</body></html>",spam,spamassassin
Q3 budget review,Here is this week's status report. No major blockers to report.,ham,enron
Lose weight fast - guaranteed,"<html><body><p>Lose weight fast - guaranteed</p><br>From: user420@mailer.biz
To: target657@example.com
Date: 2024-06-04
Message-ID: <200932@mail.example.com>

Work from home and earn $5000/week, no experience needed, sign up today!!! http://bit.ly/3xQ1z</body></html>",spam,spamassassin
Project timeline update,Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.,ham,enron
Re: Conference room booking,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Holiday schedule reminder,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Project timeline update,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Unusual sign-in activity detected,"From: user648@mailer.biz
To: target449@example.com
Date: 2024-12-07
Message-ID: <246740@mail.example.com>

This is the IT Service Desk. We require you to confirm your credentials via the secure portal attached, due to a recent security breach. http://bit.ly/3xQ1z",phishing,ceas2008
Q3 budget review,"<html><body><p>Q3 budget review</p><br>From: user393@example.com
To: target711@example.com
Date: 2024-03-23
Message-ID: <324345@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.</body></html>",ham,enron
Project timeline update,Here is this week's status report. No major blockers to report.,ham,enron
Server maintenance window,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Lunch tomorrow?,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Your invoice from last month,Here is this week's status report. No major blockers to report.,ham,enron
Re: Conference room booking,Here is this week's status report. No major blockers to report.,ham,enron
Unusual sign-in activity detected,"From: user792@mailer.biz
To: target692@example.com
Date: 2024-12-08
Message-ID: <869983@mail.example.com>

Your account shows suspicious sign-in attempts from an unrecognised device. Verify your identity now to keep your account safe.",phishing,ceas2008
Weekly status report,"From: user526@example.com
To: target904@example.com
Date: 2024-08-15
Message-ID: <203398@mail.example.com>

The conference room is booked for 2pm. See you all there.",ham,enron
Lose weight fast - guaranteed,"From: user331@mailer.biz
To: target612@example.com
Date: 2024-01-25
Message-ID: <755744@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!",spam,spamassassin
Final notice: update your billing information,"From: user352@mailer.biz
To: target672@example.com
Date: 2024-11-26
Message-ID: <442157@mail.example.com>

Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com https://accounts-update.example.org",phishing,ceas2008
Weekly status report,"<html><body><p>Weekly status report</p><br>From: user411@example.com
To: target410@example.com
Date: 2024-08-09
Message-ID: <976303@mail.example.com>

Here is this week's status report. No major blockers to report.</body></html>",ham,enron
Lose weight fast - guaranteed,"From: user462@mailer.biz
To: target26@example.com
Date: 2024-03-15
Message-ID: <718990@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches.",spam,spamassassin
Re: Conference room booking,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Follow-up on our call,   ,ham,enron
Weekly status report,The conference room is booked for 2pm. See you all there.,ham,enron
Server maintenance window,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Free gift card waiting,"<html><body><p>Free gift card waiting</p><br>From: user989@mailer.biz
To: target462@example.com
Date: 2024-07-06
Message-ID: <292818@mail.example.com>

Click here to claim your free gift card before it expires!!! Hurry, limited stock.</body></html>

    unsubscribe   ",spam,spamassassin
Your invoice from last month,"From: user690@example.com
To: target113@example.com
Date: 2024-07-19
Message-ID: <422623@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Your payment could not be processed,"<html><body><p>Your payment could not be processed</p><br>From: user35@mailer.biz
To: target39@example.com
Date: 2024-10-16
Message-ID: <839122@mail.example.com>

Your account shows suspicious sign-in attempts from an unrecognised device. Verify your identity now to keep your account safe. https://accounts-update.example.org</body></html>",phishing,ceas2008
Weekly status report,Here is this week's status report. No major blockers to report.,ham,enron
Weekly status report,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Lunch tomorrow?,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Server maintenance window,"<html><body><p>Server maintenance window</p><br>From: user873@example.com
To: target252@example.com
Date: 2024-02-09
Message-ID: <572700@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.</body></html>",ham,enron
Hot singles in your area,CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now!,spam,spamassassin
Re: Conference room booking,"From: user985@example.com
To: target691@example.com
Date: 2024-10-19
Message-ID: <121753@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Meeting notes from yesterday,Reminder that the office will be closed next Monday for the holiday.,ham,enron
Make $5000 a week from home,"<html><body><p>Make $5000 a week from home</p><br>From: user784@mailer.biz
To: target949@example.com
Date: 2024-08-13
Message-ID: <514306@mail.example.com>

Work from home and earn $5000/week, no experience needed, sign up today!!!</body></html>

    unsubscribe   ",spam,spamassassin
Server maintenance window,"From: user396@example.com
To: target51@example.com
Date: 2024-03-28
Message-ID: <700056@mail.example.com>

Please find the Q3 numbers below. We are slightly under budget on travel.

    unsubscribe   ",ham,enron
Q3 budget review,"<html><body><p>Q3 budget review</p><br>From: user376@example.com
To: target408@example.com
Date: 2024-06-21
Message-ID: <392227@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.</body></html>

    unsubscribe   ",ham,enron
Team offsite planning,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Follow-up on our call,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Follow-up on our call,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Team offsite planning,"<html><body><p>Team offsite planning</p><br>From: user463@example.com
To: target39@example.com
Date: 2024-01-12
Message-ID: <972097@mail.example.com>

Please find the Q3 numbers below. We are slightly under budget on travel.</body></html>",ham,enron
Weekly status report,Let's finalise the offsite agenda by Friday so logistics can be booked.,ham,enron
Lunch tomorrow?,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
URGENT: limited time offer,"From: user107@mailer.biz
To: target211@example.com
Date: 2024-09-27
Message-ID: <836879@mail.example.com>

Click here to claim your free gift card before it expires!!! Hurry, limited stock.",spam,spamassassin
Q3 budget review,Here is this week's status report. No major blockers to report.,ham,enron
Q3 budget review,Here is this week's status report. No major blockers to report.,ham,enron
Team offsite planning,Attached is your invoice for last month's consulting hours.,ham,enron
Holiday schedule reminder,"<html><body><p>Holiday schedule reminder</p><br>From: user329@example.com
To: target618@example.com
Date: 2024-12-07
Message-ID: <602278@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.</body></html>",ham,enron
Hot singles in your area,"<html><body><p>Hot singles in your area</p><br>From: user416@mailer.biz
To: target601@example.com
Date: 2024-04-17
Message-ID: <116112@mail.example.com>

Lose 10kg in 2 weeks with this one weird trick doctors don't want you to know about.</body></html>

    unsubscribe   ",spam,spamassassin
Buy cheap meds online now,"<html><body><p>Buy cheap meds online now</p><br>From: user197@mailer.biz
To: target918@example.com
Date: 2024-05-27
Message-ID: <500112@mail.example.com>

Work from home and earn $5000/week, no experience needed, sign up today!!!</body></html>",spam,spamassassin
Server maintenance window,Please find the Q3 numbers below. We are slightly under budget on travel.,ham,enron
Your account has been suspended,"<html><body><p>Your account has been suspended</p><br>From: user346@mailer.biz
To: target807@example.com
Date: 2024-12-02
Message-ID: <525205@mail.example.com>

We detected unusual activity on your account. Click here to verify your identity within 24 hours or your account will be permanently suspended. https://accounts-update.example.org</body></html>",phishing,ceas2008
Holiday schedule reminder,Can we push the project deadline by a week? The vendor needs more time.,ham,enron
Re: Conference room booking,"From: user772@example.com
To: target274@example.com
Date: 2024-06-10
Message-ID: <710754@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.

    unsubscribe   ",ham,enron
Meeting notes from yesterday,Here is this week's status report. No major blockers to report.,ham,enron
Best deal of the year - act now,"<html><body><p>Best deal of the year - act now</p><br>From: user392@mailer.biz
To: target649@example.com
Date: 2024-04-22
Message-ID: <835236@mail.example.com>

CONGRATULATIONS!!! You have been selected to receive a FREE $1000 gift card. Click now! https://secure-verify-now.example.com</body></html>",spam,spamassassin
Buy cheap meds online now,"From: user970@mailer.biz
To: target120@example.com
Date: 2024-09-09
Message-ID: <664032@mail.example.com>

Work from home and earn $5000/week, no experience needed, sign up today!!!",spam,spamassassin
Your payment could not be processed,"<html><body><p>Your payment could not be processed</p><br>From: user435@mailer.biz
To: target620@example.com
Date: 2024-01-19
Message-ID: <622355@mail.example.com>

Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com</body></html>",phishing,ceas2008
Meeting notes from yesterday,"<html><body><p>Meeting notes from yesterday</p><br>From: user576@example.com
To: target200@example.com
Date: 2024-06-18
Message-ID: <402620@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.</body></html>",ham,enron
Your payment could not be processed,"<html><body><p>Your payment could not be processed</p><br>From: user109@mailer.biz
To: target935@example.com
Date: 2024-08-23
Message-ID: <371577@mail.example.com>

Your password will expire today. Please log in immediately using the link below to avoid losing access to your mailbox. http://bit.ly/3xQ1z</body></html>",phishing,ceas2008
Lunch tomorrow?,"<html><body><p>Lunch tomorrow?</p><br>From: user927@example.com
To: target544@example.com
Date: 2024-04-21
Message-ID: <344146@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.</body></html>",ham,enron
Follow-up on our call,"From: user831@example.com
To: target798@example.com
Date: 2024-05-02
Message-ID: <947935@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.",ham,enron
Your invoice from last month,"<html><body><p>Your invoice from last month</p><br>From: user411@example.com
To: target925@example.com
Date: 2024-01-06
Message-ID: <497382@mail.example.com>

Attached is your invoice for last month's consulting hours.</body></html>",ham,enron
Holiday schedule reminder,"From: user256@example.com
To: target896@example.com
Date: 2024-02-15
Message-ID: <947272@mail.example.com>

Can we push the project deadline by a week? The vendor needs more time.",ham,enron
Buy cheap meds online now,"<html><body><p>Buy cheap meds online now</p><br>From: user322@mailer.biz
To: target325@example.com
Date: 2024-11-10
Message-ID: <844943@mail.example.com>

Cheap viagra and other meds, no prescription needed, discreet shipping worldwide!!! http://free-gift-claim.example.net</body></html>",spam,spamassassin
Project timeline update,"From: user212@example.com
To: target834@example.com
Date: 2024-04-26
Message-ID: <162241@mail.example.com>

Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Holiday schedule reminder,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Your invoice from last month,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Draft contract attached,"<html><body><p>Draft contract attached</p><br>From: user831@example.com
To: target577@example.com
Date: 2024-05-03
Message-ID: <360247@mail.example.com>

Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.</body></html>",ham,enron
Team offsite planning,Attached is your invoice for last month's consulting hours.,ham,enron
Meeting notes from yesterday,"Hi team, attaching the notes from yesterday's meeting. Let me know if I missed anything.",ham,enron
Q3 budget review,   ,ham,enron
Project timeline update,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Draft contract attached,"<html><body><p>Draft contract attached</p><br>From: user881@example.com
To: target357@example.com
Date: 2024-02-06
Message-ID: <663356@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.</body></html>

    unsubscribe   ",ham,enron
Server maintenance window,Here is this week's status report. No major blockers to report.,ham,enron
Meeting notes from yesterday,Here is this week's status report. No major blockers to report.,ham,enron
Q3 budget review,"Thanks for the call earlier, I'll send the revised proposal by EOD.",ham,enron
Security alert from IT department,"Dear customer, your recent payment failed. Update your billing details now to avoid service interruption: http://secure-billing-update.example.com https://secure-verify-now.example.com",phishing,ceas2008
Your invoice from last month,Here is this week's status report. No major blockers to report.,ham,enron
Weekly status report,Here is this week's status report. No major blockers to report.,ham,enron
Lunch tomorrow?,"From: user719@example.com
To: target111@example.com
Date: 2024-07-28
Message-ID: <140605@mail.example.com>

The conference room is booked for 2pm. See you all there.

    unsubscribe   ",ham,enron
Meeting notes from yesterday,"From: user825@example.com
To: target966@example.com
Date: 2024-05-23
Message-ID: <843826@mail.example.com>

Are you free for lunch tomorrow at noon? I wanted to discuss the new hire.",ham,enron
Buy cheap meds online now,"<html><body><p>Buy cheap meds online now</p><br>From: user286@mailer.biz
To: target570@example.com
Date: 2024-05-05
Message-ID: <268746@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches. https://secure-verify-now.example.com</body></html>",spam,spamassassin
Holiday schedule reminder,"<html><body><p>Holiday schedule reminder</p><br>From: user236@example.com
To: target254@example.com
Date: 2024-08-12
Message-ID: <262656@mail.example.com>

Let's finalise the offsite agenda by Friday so logistics can be booked.</body></html>",ham,enron
URGENT: limited time offer,"From: user985@mailer.biz
To: target320@example.com
Date: 2024-06-06
Message-ID: <759726@mail.example.com>

LIMITED TIME OFFER expires in 24 hours, buy now and save 90% on luxury watches.",spam,spamassassin
Follow-up on our call,"<html><body><p>Follow-up on our call</p><br>From: user507@example.com
To: target872@example.com
Date: 2024-06-06
Message-ID: <611233@mail.example.com>

Reminder that the office will be closed next Monday for the holiday.</body></html>",ham,enron
